Name EN,Name CN
Pachi-Slot Aruze Oukoku Pocket - e-CUP (Japan) (v03),柏青嫂阿尔赛王国 - E杯
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v03),柏青嫂阿尔赛王国 - 火花
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v05),柏青嫂阿尔赛王国 - 火花
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v04),柏青嫂阿尔赛王国 - 火花
Pachi-Slot Aruze Oukoku Pocket - Ohanabi (Japan),柏青嫂阿尔赛王国 - 大花火
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v03),柏青嫂阿尔赛王国 - 光之圣炬
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v04),柏青嫂阿尔赛王国 - 光之圣炬
Pachinko Hisshou Guide - Pocket Parlor (Japan),柏青嫂必胜指南 - 掌上小店
Pachinko Hisshou Guide - Pocket Parlor (Japan) (Beta),柏青嫂必胜指南 - 掌上小店
Party Mail (Japan),舞会信件
Party Mail (Japan) (Beta),舞会信件
Picture Puzzle (Europe),图片方块
Pocket Love - if (Japan),口袋恋爱 - 假如
Pocket Reversi (Europe) (vA1),口袋黑白棋
Pocket Reversi (Japan),口袋黑白棋
Pocket Reversi (Europe) (v03),口袋黑白棋
"Pocket Tennis Color - Pocket Sports Series (World) (En,Ja)",口袋网球
PP-AA01 - Pusher - Program - Hontai Controller Gawa (Japan),PP-AA01设置程序
"Puyo Pop (Japan) (En,Ja) (v05)",魔法泡泡
"Puyo Pop (USA) (En,Ja) (v06)",魔法泡泡
Puzzle Bobble Mini (Europe),泡泡龙
Puzzle Bobble Mini (Japan) (En),泡泡龙
"Puzzle Link (USA, Europe)",联结方块
"Puzzle Link 2 (USA, Europe)",联结方块2
Renketsu Puzzle Tsunagete Pon! Color (Japan),联结方块
Rockman - Battle & Fighters (Japan),洛克人格斗
Rockman - Battle & Fighters (Japan) (Demo),洛克人格斗
"Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja)",侍魂2
"Shanghai Mini (World) (En,Ja)",上海迷你版
"Shanghai Mini (World) (En,Ja) (Beta 1)",上海迷你版
"Shanghai Mini (World) (En,Ja) (Beta 2)",上海迷你版
Shinki Sekai Evolution - Hateshinai Dungeon (Japan),神机世界
Shougi no Tatsujin Color (Japan),将棋达人
SNK Gals' Fighters (Japan),SNK美少女大乱斗
"SNK Gals' Fighters (USA, Europe)",SNK美少女大乱斗
SNK vs. Capcom - Card Fighters 2 - Expand Edition (Japan),SNK VS Capcom 卡片战士2 - 加强版
"SNK vs. Capcom - Card Fighters' Clash - Capcom Version (USA, Europe)",SNK VS Capcom 卡片战士 - Capcom版
"SNK vs. Capcom - Card Fighters' Clash - SNK Version (USA, Europe)",SNK VS Capcom 卡片战士 - SNK版
SNK vs. Capcom - Gekitotsu Card Fighters (Japan) (Demo),SNK VS Capcom 卡片战士
SNK vs. Capcom - Gekitotsu Card Fighters - Capcom Supporter Version (Japan),SNK VS Capcom 卡片战士 - Capcom版
SNK vs. Capcom - Gekitotsu Card Fighters - SNK Supporter Version (Japan),SNK VS Capcom 卡片战士 - SNK版
SNK vs. Capcom - Gekitotsu Card Fighters - SNK Supporter Version (Japan) (Demo),SNK VS Capcom 卡片战士 - SNK版
"SNK vs. Capcom - The Match of the Millennium (World) (En,Ja)",SNK VS Capcom - 千禧之战
SNK vs. Capcom - The Match of the Millennium (Japan) (Demo),SNK VS Capcom - 千禧之战
"Sonic The Hedgehog - Pocket Adventure (World) (En,Ja)",索尼克 - 口袋冒险
Sonic The Hedgehog - Pocket Adventure (World) (Demo),索尼克 - 口袋冒险
Sonic The Hedgehog - Pocket Adventure (World) (Beta) (1999-10-22),索尼克 - 口袋冒险
Soreike!! Hanafuda Doujou (Japan),挑战!花扎道场
Super Real Mahjong - Premium Collection (Japan),超写真麻将
Tsunagete Pon! 2 (Japan),联结方块2
Wrestling Madness (Japan) (En) (Beta),职业摔角大赛
"Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)",明星棒球
"King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)",拳皇R-1
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo),拳皇R-1
Melon-chan no Seichou Nikki (Japan),小瓜子成长日记
"Neo Cherry Master - Real Casino Series (Japan) (En,Ja)",NEO水果机大师
"NeoGeo Cup '98 (Japan, Europe) (En,Ja)",NEO世界杯98
"Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)",口袋网球
Renketsu Puzzle Tsunagete Pon! (Japan),联结方块
"Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)",侍魂
Shougi no Tatsujin (Japan),将棋达人
